Spanish,English
de,of
no	No
a	a
la	the
el	the
ser	be
y	Y
en	in
lo	it
un	a
por	by
qu�	what
me	I
un	a
te	tea
lo	it
se	I know
con	with
para	for
mi	me
estar	be
si	Yes
bien	right
pero	but
yo	me
eso	it's
la	the
s�	Yes
su	its
tu	your
aqu�	here
del	of
al	to the
como	What
le	you
m�s	plus
esto	this
ya	Already
todo	all
esta	is
ir	to go
muy	very
haber	to have
ahora	now
algo	something
estar	be
tener	to have
nos	us
t�	your
nada	any
cuando	when
haber	to have
este	East
saber	to know
estar	be
as�	So
poder	can
c�mo	What
querer	want
s�lo	single
ser	be
tener	to have
gracias	Thank you
o	either
�l	the
bueno	Okay
ser ir	be going
ser	be
hacer	do
ser	be
todo	all
ser	be
ser	be
vez	time
tener	to have
creer	believe
ella	she
haber	to have
ese	that
ir	to go
poder	can
saber	to know
hola	hello
su	its
porque	because
dios	god
qui�n	who
nunca	never
d�nde	where
querer	want
casa casar	Casar house
favor	favour
ese	that
dos	two
tanto	so much
se�or	mister
tiempo	weather
verdad	TRUE
estar	be
mejor	better
estar	be
ir	to go
hombre	men
usted	you
mucho	much
hacer	do
entonces	then
sentir sentar	Feel sit
tener	to have
poder	can
ah�	there
ti	you
vida	life
ver	watch
alguien	someone
se�or	mister
hasta	until
sin	without
m�	my
solo	only
a�o	year
sobre	on
decir	tell
uno	one
siempre	forever
oh	Oh
ir	to go
cosa coser	sewing thing
tambi�n	also
antes	before
haber	to have
ni	neither
mi	me
d�a	day
estar	be
estar	be
noche	night
nadie	no one
otro	other
querer	want
parecer	look
nosotros	us
poco	little bit
padre	dad
trabajo trabajar	work work
gente	people
mirar	look at
ir	to go
ser	be
les	them
donde	where
mismo	same
hacer hecho	Make done
ellos	they
decir	tell
pasar	spend
dinero	money
hijo	son
tal	such
otro	other
hablar	speak
seguro	sure
claro	Sure
este	East
lugar	place
mundo	world
amigo	dude
esperar espera	Wait wait
mierda	shit
haber	to have
tu	your
saber	to know
despu�s	after
momento	moment
desde	since
fuera ir ser	It was going
cosa coser	sewing thing
tipo	Type
ma�ana	morning
poder	can
decir	tell
grande	great
necesitar	need
estar estado	Be condition
poder	can
acordar acuerdo	Agreement
pap�	father
tener	to have
decir	tell
m�o	Own
creer	believe
bueno buena	good good
gustar	like
nuestro	our
nuevo	new
ser	be
hacer	do
d�a	day
nombre	Name
bueno	Okay
haber	to have
ver venir	See coming
tres	three
menos	less
deber	have to
tener	to have
mal	wrong
conmigo	with me
madre	mother
hoy	today
quien	who
ser	be
mam�	breast
tener	to have
luego	later
todo	all
all�	over there
todo	all
hora	hour
mujer	woman
ver	watch
hacer	do
importar	to import
contigo	with you
ver ir	see going
tarde tardar	late late
o�r	hear
partir parte	leave part
haber	to have
hombre	men
problema	issue
mas	plus
saber	to know
querer	want
a�n	even
vez	time
nuestro	our
hacer	do
cada	each
hacer	do
ver	watch
tanto	so much
raz�n	reason
usted	you
idea	idea
eso	it's
ir	to go
quiz�	Maybe
deber	have to
alguno	some
cierto	certain
usted	you
muerto morir	Dead dying
un	a
este	East
salir	leave
polic�a	policeman
realmente	Really
demasiado	too
familia	family
poder	can
cabeza	head
haber	to have
amigo	dude
chico chica	Girl boy
cari�o	sweetie
lado	side
all�	there
entre	Come in
minuto	minute
decir	tell
alg�n	some
serio	I laughed
cuidar cuidado	Take care
pasar	spend
bueno	Okay
ser	be
amor	love
puerta	gate
ver	watch
ir	to go
ah	ah
suerte	luck
eh	Hey
r�pido	Quick
contar cuenta	count account
quiz�s	maybe
ese	that
pues	well
pasar pasado	Spend
pensar	to think
todav�a	yet
hermano	brother
deber	have to
casi	almost
forma	form
aqu�	here
chico	boy
ok	okay
decir dicho	to say said
nuevo nueva	new new
saber	to know
mucho	much
dentro	within
hacer	do
contra	against
auto	auto
camino caminar	walk walking
ayuda ayudar	Help help
primero primera	first first
hacia	towards
ver	watch
miedo	fear
adi�s	bye
primero	first
deber	have to
poder	can
ni�o	little boy
ser	be
historia	history
hey	Hey
mientras	while
ciudad	city
decir	tell
esperar	expect
cu�nto	how many
esposa esposar	Way wife
pronto	early
chico	boy
cualquier	any
viejo	old
deber	have to
dejar	let
a�o	year
muerte	death
hablar	speak
mano	hand
dar	to give
loco	crazy
problema	issue
mano	hand
guerra	war
semana	week
pasar	spend
valer vale	Valer ok
cu�l	which
venir	to come
volver	return
tomar	drink
caso casar	Casar case
agua	Water
hacer	do
ir	to go
entender	to understand
hora	hour
persona	person
capit�n	captain
adelante	ahead
ni�o	little boy
listo	clever
noche	night
bueno	Okay
ir	to go
junto	together
dar	to give
�nico	unique
dejar	let
cerca cercar	near fence
otro	other
seguir	continue
grande	great
arriba	up
jefe	boss
hablar habla	Talk speaks
suponer	suppose
manera	way
querer	want
feliz	happy
significar	to mean
sangre	blood
fin	finish
bajar bajo	Lower low
llamar llama	call flame
venir	to come
morir	To die
importante	important
hacer	do
ojo	eye
escuchar	listen
entrar	get in
ninguno	none
coraz�n	heart
diablo	Devil
necesitar	need
atr�s	behind
durante	during
decir	tell
nuestro	our
persona	person
abajo	down
doctor	doctor
hija	daughter
dejar	let
necesitar	need
llegar	get
hacer	do
se�ora	Mrs
haber haya	there is
suficiente	enough
doctor	doctor
gustar	like
tierra	Earth
cara	expensive
siquiera	even
genial	cool
creer	believe
suponer	suppose
tomar	drink
equipo equipar	Equipo equipment
justo	just
